00C27AD6-29D7-4811-9585-380940BDC778#appfire#01.1001.1001.1006.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.location.AddressTypeMain#appfire##appfire#1#appfire#0#appfire#Address Type#appfire##appfire#82F5B3C4-4053-495C-BF18-73C358BCD4E0#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
0B6F426C-73C6-4E09-9879-8DF1C6CACA75#appfire#02.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#App Insight#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
32C1FE29-D647-4B14-ADE6-AA181B528235#appfire#02.1002.1002.#appfire##appfire#Mobilebp.view.logalarm.LogAlarmMainView#appfire##appfire#1#appfire#0#appfire#Log Alarm#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
33704D0A-FBB0-41BD-ACC7-E0FCD6F944A1#appfire#01.1001.1001.1004.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.location.StateMain#appfire##appfire#1#appfire#0#appfire#State#appfire##appfire#58837F7E-E767-4D76-B519-7EAD548987B5#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
3686C687-5183-4D31-9A88-D44A17EB3FE7#appfire#01.1001.1001.1010.#appfire##appfire#Mobilebp.mobilebp.smartdevice.com.view.defaultcontext.defaultdomain.FUui#appfire#{"homeScreen":false}#appfire#1#appfire#0#appfire#FUui#appfire##appfire#B13679E7-5D1B-4CDB-8A5F-5A3F37C9CCC0#appfire#1#appfire#2#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#1#appfire#1#appfire#51000#appfire#0
3C20CD61-D683-4006-BF89-462958845067#appfire#01.1001.1004.1002.#appfire##appfire#Mobilebp.mobilebp.web.com.view.defaultcontext.defaultdomain.ChildMain#appfire##appfire#1#appfire#0#appfire#Child#appfire##appfire#793FB996-8AD9-476E-9E26-58B1E466AD16#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
3C9F7429-0EC0-40C8-87B1-A076718B53DC#appfire#01.1001.1004.1001.#appfire##appfire#Mobilebp.mobilebp.web.com.view.defaultcontext.defaultdomain.ParentMain#appfire##appfire#1#appfire#0#appfire#Parent#appfire##appfire#B611933E-2A60-4FF7-9F3C-25356B28755A#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
4249DB3E-5516-4530-A799-1010053CA41E#appfire#01.1001.1004.1010.#appfire##appfire#Mobilebp.mobilebp.web.com.view.defaultcontext.defaultdomain.TestAMain#appfire##appfire#1#appfire#0#appfire#TestA#appfire##appfire#144E96D9-227A-469E-BE75-5C2FAFAB26EC#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
4B8CE95F-22A9-41BB-BF9C-9AB89627E4FA#appfire#01.1001.1001.1013.#appfire##appfire#Mobilebp.mobilebp.smartdevice.com.view.defaultcontext.defaultdomain.Newww#appfire#{"homeScreen":false}#appfire#1#appfire#0#appfire#Newww#appfire##appfire#E0D90BDE-28AD-4C50-829E-375AEB55F448#appfire#1#appfire#2#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#1#appfire#1#appfire#51000#appfire#0
4C3389DD-EBA4-4B55-A89D-938533C1737D#appfire#01.1001.1002.1003.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.contacts.CommunicationTypeMain#appfire##appfire#1#appfire#0#appfire#Communication Type#appfire##appfire#22D81C0A-83F8-499A-94CD-BC679294A664#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
4EE9D6AC-DFBC-4967-BDCC-CD5130854C41#appfire#02.1002.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#Log Setup#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
53BDBFC4-851F-4769-9981-D064FBC3576A#appfire#01.1001.1002.1006.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.contacts.CoreContactsMain#appfire##appfire#1#appfire#0#appfire#Core Contacts#appfire##appfire#09912F20-2278-49FD-9A64-1EC353EB5E6A#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
